Email,FirstName,LastName,CourseId,Grades,Marks,StudentId
dr0@gmail.com,Disha,Rawat,data200,A,99.6,S1
dr1@gmail.com,Disha,Rawat,data200,A,98,S2
dr2@gmail.com,Disha,Rawat,data200,A,97,S3
dr3@gmail.com,Disha,Rawat,data200,,,S4
dr4@gmail.com,Disha,Rawat,data200,,,S5
dr5@gmail.com,Disha,Rawat,data200,,,S6
dr6@gmail.com,Disha,Rawat,data200,,,S7
dr7@gmail.com,Disha,Rawat,data200,,,S8
dr8@gmail.com,Disha,Rawat,data200,,,S9
dr9@gmail.com,Disha,Rawat,data200,B,80,S10
dr10@gmail.com,Disha,Rawat,data200,,,S11
dr11@gmail.com,Disha,Rawat,data200,,,S12
dr12@gmail.com,Disha,Rawat,data200,,,S13
dr13@gmail.com,Disha,Rawat,data200,C,70,S14
dr14@gmail.com,Disha,Rawat,data200,,,S15
dr15@gmail.com,Disha,Rawat,data200,A,97,S16
dr16@gmail.com,Disha,Rawat,data200,,,S17
dr17@gmail.com,Disha,Rawat,data200,,,S18
dr18@gmail.com,Disha,Rawat,data200,,,S19
dr19@gmail.com,Disha,Rawat,data200,B,81,S20
dr20@gmail.com,Disha,Rawat,data200,,,S21
dr21@gmail.com,Disha,Rawat,data200,,,S22
dr22@gmail.com,Disha,Rawat,data200,,,S23
dr24@gmail.com,Disha,Rawat,data200,A,98.5,S25
dr25@gmail.com,Disha,Rawat,data200,,,S26
dr26@gmail.com,Disha,Rawat,data200,,,S27
dr27@gmail.com,Disha,Rawat,data200,,,S28
dr28@gmail.com,Disha,Rawat,data200,,,S29
dr29@gmail.com,Disha,Rawat,data200,,,S30
dr30@gmail.com,Disha,Rawat,data200,,,S31
dr31@gmail.com,Disha,Rawat,data200,,,S32
dr32@gmail.com,Disha,Rawat,data200,,,S33
dr33@gmail.com,Disha,Rawat,data200,,,S34
dr34@gmail.com,Disha,Rawat,data200,,,S35
dr35@gmail.com,Disha,Rawat,data200,,,S36
dr36@gmail.com,Disha,Rawat,data200,,,S37
dr37@gmail.com,Disha,Rawat,data200,,,S38
dr38@gmail.com,Disha,Rawat,data200,,,S39
dr39@gmail.com,Disha,Rawat,data200,,,S40
dr40@gmail.com,Disha,Rawat,data200,,,S41
dr41@gmail.com,Disha,Rawat,data200,,,S42
dr42@gmail.com,Disha,Rawat,data200,,,S43
dr43@gmail.com,Disha,Rawat,data200,,,S44
dr44@gmail.com,Disha,Rawat,data200,,,S45
dr45@gmail.com,Disha,Rawat,data200,,,S46
dr46@gmail.com,Disha,Rawat,data200,,,S47
dr47@gmail.com,Disha,Rawat,data200,,,S48
dr48@gmail.com,Disha,Rawat,data200,,,S49
dr49@gmail.com,Disha,Rawat,data200,,,S50
dr50@gmail.com,Disha,Rawat,data200,,,S51
dr51@gmail.com,Disha,Rawat,data200,,,S52
dr52@gmail.com,Disha,Rawat,data200,,,S53
dr53@gmail.com,Disha,Rawat,data200,,,S54
dr54@gmail.com,Disha,Rawat,data200,,,S55
dr55@gmail.com,Disha,Rawat,data200,,,S56
